REQ_SERIAL,RISUID,reson  bik,tavalod,tahol,ttakafol,basavad-bisavad,RQ_RLDATE,elat-gath,RISUID,edu,mablag,age,label 
2.57E+12,43269901,6,13490318,2,1,1,,1,43269901,,3303000,48,1
2.57E+12,43266857,1,13560601,2,2,1,13,1,43266857,,2196000,41,1
2.57E+12,43268477,1,13480304,2,3,1,13,1,43268477,,2196000,49,1
2.57E+12,43278419,6,13611006,2,2,1,,1,43278419,17,11112690,35,1
2.57E+12,43281041,2,13611126,2,2,1,,1,43281041,17,3897000,35,1
2.57E+12,43268652,1,13540809,2,1,1,13,1,43268652,,2196000,42,1
2.57E+12,43288250,2,13400101,2,3,1,,1,43288250,17,3303000,57,1
2.57E+12,43288250,2,13400101,2,3,1,,1,43288250,17,3317136,57,1
2.57E+12,43288250,2,13400101,2,3,1,,1,43288250,17,3030000,57,1
2.57E+12,43288250,2,13400101,2,3,1,,1,43288250,17,3303000,57,1
2.57E+12,43288250,2,13400101,2,3,1,,1,43288250,17,3317136,57,1
2.57E+12,43288250,2,13400101,2,3,1,,1,43288250,17,3030000,57,1
2.57E+12,43288250,2,13400101,2,3,1,,1,43288250,17,3303000,57,1
2.57E+12,43288250,2,13400101,2,3,1,,1,43288250,17,3317136,57,1
2.57E+12,43288250,2,13400101,2,3,1,,1,43288250,17,3030000,57,1
2.57E+12,43288282,2,13610104,2,0,1,,1,43288282,19,4871250,36,1
2.57E+12,14101470,2,13620601,2,2,1,,1,14101470,,3030000,35,1
2.57E+12,16071626,1,13561002,2,2,1,13,1,16071626,,2196000,40,1
2.57E+12,43288303,6,13660625,2,2,1,,1,43288303,13,11112690,31,1
2.57E+12,43267997,2,13550917,2,3,1,,1,43267997,,6089100,41,1
2.57E+12,43282338,2,13600202,2,2,1,,1,43282338,20,3897000,37,1
2.57E+12,43264375,1,13460110,2,3,1,13,1,43264375,,3030000,51,1
2.57E+12,43264375,1,13460110,2,3,1,13,1,43264375,,2635200,51,1
2.57E+12,43264375,2,13460110,2,3,1,,1,43264375,,3030000,51,1
2.57E+12,43264375,2,13460110,2,3,1,,1,43264375,,2635200,51,1
2.57E+12,43288246,2,13600722,2,1,1,,1,43288246,19,4871250,36,1
2.57E+12,43288311,2,13650329,1,0,1,,1,43288311,17,3303000,32,1
2.57E+12,43285951,12,13640806,2,1,1,,1,43285951,,3303000,32,1
2.57E+12,43288252,2,13610107,2,1,1,,1,43288252,14,3303000,36,1
2.57E+12,43285474,2,13631201,2,2,1,,1,43285474,,3030000,33,1
2.57E+12,22087526,1,13580929,2,2,1,,1,22087526,,4871250,38,1
2.57E+12,43287306,2,13620601,2,2,1,,1,43287306,,4871250,35,1
2.57E+12,40024086,1,13231018,2,4,1,13,1,40024086,12,2196000,73,1
2.57E+12,43270175,1,13550610,2,1,1,13,1,43270175,,2196000,42,1
2.57E+12,43270175,1,13550610,2,1,1,13,1,43270175,,2196000,42,1
2.57E+12,43270175,1,13550610,2,1,1,13,1,43270175,,2196000,42,1
2.57E+12,43270175,1,13550610,2,1,1,13,1,43270175,,2196000,42,1
2.57E+12,43286697,2,13490901,2,2,1,,1,43286697,,3030000,47,1
2.57E+12,42092611,1,13611017,2,2,1,,1,42092611,,3030000,35,1
2.57E+12,43415889,2,13580101,2,1,1,,1,43415889,,3303000,39,1
2.57E+12,43268812,1,13370313,2,2,1,13,1,43268812,,2196000,60,1
2.57E+12,43418083,1,13571005,2,1,1,13,1,43418083,,2635200,39,1
2.57E+12,43418083,1,13571005,2,1,1,13,1,43418083,,2196000,39,1
2.57E+12,43418083,2,13571005,2,1,1,,1,43418083,,2635200,39,1
2.57E+12,43418083,2,13571005,2,1,1,,1,43418083,,2196000,39,1
2.57E+12,43418083,1,13571005,2,1,1,13,1,43418083,,2635200,39,1
2.57E+12,43418083,1,13571005,2,1,1,13,1,43418083,,2196000,39,1
2.57E+12,43418083,2,13571005,2,1,1,,1,43418083,,2635200,39,1
2.57E+12,43418083,2,13571005,2,1,1,,1,43418083,,2196000,39,1
2.57E+12,43404616,2,13570708,2,3,1,,1,43404616,,3303000,39,1
2.57E+12,26061283,2,13371221,1,0,1,,1,26061283,,3030000,59,1
2.57E+12,43273526,2,13540916,1,0,1,,1,43273526,20,3303000,42,1
2.57E+12,43278844,2,13480901,2,0,1,,1,43278844,20,3303000,48,1
2.57E+12,97043867,1,13530517,2,0,1,,1,97043867,12,3303000,44,1
2.57E+12,43288387,6,13670923,1,0,1,,1,43288387,14,3303000,29,1
2.57E+12,24807463,1,13351001,2,4,2,13,1,24807463,,8121660,61,1
2.57E+12,24807463,1,13351001,2,4,2,13,1,24807463,,2196000,61,1
2.57E+12,24807463,2,13351001,2,1,1,,1,24807463,,8121660,61,1
2.57E+12,24807463,2,13351001,2,1,1,,1,24807463,,2196000,61,1
2.57E+12,24807463,1,13351001,2,4,2,13,1,24807463,,8121660,61,1
2.57E+12,24807463,1,13351001,2,4,2,13,1,24807463,,2196000,61,1
2.57E+12,24807463,2,13351001,2,1,1,,1,24807463,,8121660,61,1
2.57E+12,24807463,2,13351001,2,1,1,,1,24807463,,2196000,61,1
2.57E+12,43270785,2,13580622,1,0,1,,1,43270785,,3897000,39,1
2.57E+12,43421344,2,13600203,2,1,1,,1,43421344,,4871250,37,1
2.57E+12,43269270,1,13380701,2,3,1,13,1,43269270,,2196000,59,1
2.57E+12,43281847,1,13610915,2,0,1,,1,43281847,,2635200,35,1
2.57E+12,97043866,2,13410914,2,0,1,,1,97043866,,3303000,55,1
2.57E+12,97043869,2,13491011,2,0,1,,1,97043869,,3030000,47,1
2.57E+12,97043868,2,13500630,3,0,1,,1,97043868,14,3030000,47,1
2.57E+12,43270826,2,13540218,2,3,1,,1,43270826,,3897000,43,1
2.57E+12,41702743,2,13640110,2,0,1,,1,41702743,,2635200,33,1
2.57E+12,43272351,1,13580101,2,2,1,13,1,43272351,,2196000,39,1
2.57E+12,43285285,2,13231115,1,0,1,,1,43285285,,4871250,73,1
2.57E+12,43272080,2,13540313,2,1,1,,1,43272080,17,3030000,43,1
2.57E+12,43288474,2,13640101,2,2,1,,1,43288474,17,4871250,33,1
2.57E+12,43265440,2,13561204,2,3,1,,1,43265440,12,7124250,40,1
2.57E+12,43281409,2,13630510,1,0,1,,1,43281409,,2635200,34,1
2.57E+12,43288399,12,13611115,2,0,1,,1,43288399,18,3030000,35,1
2.57E+12,42503004,1,13410115,2,4,1,13,1,42503004,,2196000,56,1
2.57E+12,27327136,12,13540501,2,1,1,13,1,27327136,,2196000,43,1
2.57E+12,43288429,3,13580803,1,0,1,,1,43288429,17,3303000,38,1
2.57E+12,43288456,6,13651202,1,0,1,,1,43288456,17,3030000,31,1
2.57E+12,26104299,2,13590615,2,4,1,,1,26104299,14,8121660,38,1
2.57E+12,43422750,2,13620727,1,0,1,,1,43422750,,2635200,34,1
2.57E+12,24807432,1,13351020,2,4,2,13,1,24807432,12,8121660,61,1
2.57E+12,24807432,1,13351020,2,4,2,13,1,24807432,12,2196000,61,1
2.57E+12,24807432,12,13351020,2,4,1,,1,24807432,12,8121660,61,1
2.57E+12,24807432,12,13351020,2,4,1,,1,24807432,12,2196000,61,1
2.57E+12,43274555,2,13610813,2,1,1,,1,43274555,,3030000,35,1
2.57E+12,43288398,12,13590901,1,0,1,,1,43288398,17,3030000,37,1
2.57E+12,43288418,2,13380207,2,2,1,,1,43288418,13,9299310,59,1
2.57E+12,33679936,1,13500804,2,2,1,13,1,33679936,,2635200,46,1
2.57E+12,33679936,1,13500804,2,2,1,13,1,33679936,,2196000,46,1
2.57E+12,33679936,2,13500804,2,2,1,,1,33679936,,2635200,46,1
2.57E+12,33679936,2,13500804,2,2,1,,1,33679936,,2196000,46,1
2.57E+12,33679936,1,13500804,2,2,1,13,1,33679936,,2635200,46,1
2.57E+12,33679936,1,13500804,2,2,1,13,1,33679936,,2196000,46,1
2.57E+12,33679936,2,13500804,2,2,1,,1,33679936,,2635200,46,1
2.57E+12,33679936,2,13500804,2,2,1,,1,33679936,,2196000,46,1
2.57E+12,43264282,2,13500813,2,2,1,,1,43264282,14,9299310,46,1
2.57E+12,43264282,2,13500813,2,2,1,,1,43264282,14,3030000,46,1
2.57E+12,43264282,2,13500813,2,2,1,,1,43264282,14,9299310,46,1
2.57E+12,43264282,2,13500813,2,2,1,,1,43264282,14,3030000,46,1
